,StateName,Abbrev,Date,AvgPrice,Type,MORTGAGE30US,MonthlyPayment,AvgRent
85,Kansas,KS,2015-02-28,270799.3253045975,Multifamily,3.8,686.02,833.9679411772479
86,New Mexico,NM,2015-02-28,308011.41797369503,Multifamily,3.8,780.3,882.5401125954512
87,Nebraska,NE,2015-02-28,257979.144046713,Multifamily,3.8,653.55,839.9983071465497
88,Idaho,ID,2015-02-28,253602.31805542237,Multifamily,3.8,642.46,826.3480387897213
89,West Virginia,ID,2015-02-28,217544.31612581728,Multifamily,3.8,551.11,826.3480387897213
90,Hawaii,HI,2015-02-28,828929.5739996824,Multifamily,3.8,2099.95,1229.8660084831038
91,New Hampshire,NH,2015-02-28,355022.5579423251,Multifamily,3.8,899.39,1033.0867703186805
92,Maine,ME,2015-02-28,292205.86769904586,Multifamily,3.8,740.25,1061.1429043435885
93,Rhode Island,RI,2015-02-28,397632.950648933,Multifamily,3.8,1007.34,1094.6732088607791
94,Montana,MT,2015-02-28,317317.650483124,Multifamily,3.8,803.87,916.4547714073285
95,Delaware,DE,2015-02-28,417600.5236330609,Multifamily,3.8,1057.92,1015.8462355925731
96,South Dakota,SD,2015-02-28,273239.546906913,Multifamily,3.8,692.21,1134.0601165206765
97,North Dakota,ND,2015-02-28,328004.49088446936,Multifamily,3.8,830.94,838.1494244333628
98,Alaska,AK,2015-02-28,430942.6481751953,Multifamily,3.8,1091.72,1036.4775332297586
100,Vermont,VT,2015-02-28,316016.74367841164,Multifamily,3.8,800.58,913.1177089380975
101,Wyoming,WY,2015-02-28,323939.32702386595,Multifamily,3.8,820.65,826.1581978649289
102,California,CA,2015-03-31,697587.8792307063,Multifamily,3.69,1716.07,1279.1879434327352
103,Texas,TX,2015-03-31,364868.0013601894,Multifamily,3.69,897.58,938.6887637578061
104,Florida,FL,2015-03-31,404631.39115078864,Multifamily,3.69,995.39,1029.743949832555
105,New York,NY,2015-03-31,437783.774583623,Multifamily,3.69,1076.95,1011.3688834226285
106,Pennsylvania,PA,2015-03-31,292277.25894966564,Multifamily,3.69,719.0,906.5413056876088
107,Illinois,IL,2015-03-31,356037.8610576664,Multifamily,3.69,875.85,866.9742213123666
108,Ohio,OH,2015-03-31,251495.839991402,Multifamily,3.69,618.68,877.6134275365788
109,Georgia,GA,2015-03-31,318001.4310018525,Multifamily,3.69,782.28,927.2111317183892
110,North Carolina,NC,2015-03-31,375777.17871226853,Multifamily,3.69,924.41,917.4843186572098
111,Michigan,MI,2015-03-31,255006.15926353855,Multifamily,3.69,627.32,894.2455593356448
112,New Jersey,NJ,2015-03-31,621468.5483803814,Multifamily,3.69,1528.81,1095.205437398423
113,Virginia,VA,2015-03-31,528262.5400735921,Multifamily,3.69,1299.53,991.5945256160004
114,Washington,WA,2015-03-31,424213.01338318974,Multifamily,3.69,1043.56,921.1746449017452
115,Arizona,AZ,2015-03-31,354005.2551890829,Multifamily,3.69,870.85,945.6113821692203
116,Massachusetts,MA,2015-03-31,636511.0116826954,Multifamily,3.69,1565.82,1215.129217788771
117,Tennessee,TN,2015-03-31,343265.3032706177,Multifamily,3.69,844.43,919.641964082805
118,Indiana,IN,2015-03-31,264850.64740592963,Multifamily,3.69,651.53,834.7639052407504
119,Maryland,MD,2015-03-31,485370.06923097814,Multifamily,3.69,1194.01,1018.4176720140018
